Date,Prophet_Forecast,Prophet_Lower,Prophet_Upper
2024-05-27,1009.5972948197732,976.5674466011277,1040.8076429984162
2024-05-28,1015.5811416807682,982.2826969167896,1047.936431959592
2024-05-29,1022.0435606710377,987.4847222766135,1055.1483159892355
2024-05-30,1029.3231485407814,994.2552603990513,1062.6265427107894
2024-05-31,1036.0384680921702,999.9389082814906,1070.590378931431
2024-06-01,1042.0014798773448,1005.1429222440507,1077.5744403928488
2024-06-02,1049.0490827240806,1010.750864887408,1085.5894803946717
2024-06-03,1056.2792571817297,1017.2873228257715,1094.0221620483921
2024-06-04,1062.2631040427245,1021.9078537576002,1100.3585821696104
2024-06-05,1068.7255230329947,1027.2900840318594,1107.9458315634358
2024-06-06,1076.005110902739,1033.478873332966,1116.4118340134546
2024-06-07,1082.720430454129,1039.1625846239858,1124.203199855633
2024-06-08,1088.6834422393013,1044.4359396150378,1130.5091562557886
2024-06-09,1095.7310450860384,1050.2877914713656,1138.9170705328147
2024-06-10,1102.9612195436869,1055.823916216716,1147.7306659518363
2024-06-11,1108.9450664046808,1060.299079681691,1154.3436744702112
2024-06-12,1115.4074853949508,1065.084490836733,1162.3398935794469
2024-06-13,1122.6870732646962,1071.2666030495259,1171.093216996474
2024-06-14,1129.4023928160857,1077.7922432929765,1178.9117026489587
2024-06-15,1135.3654046012584,1083.0881763539976,1186.2802974463168
2024-06-16,1142.4130074479956,1089.8071407166144,1194.9116896466182
2024-06-17,1149.6431819056438,1095.4483329246518,1203.181279514797
2024-06-18,1155.6270287666405,1099.6789484784977,1209.487911556521
2024-06-19,1162.0894477569077,1105.0180711091275,1218.444438293647
2024-06-20,1169.3690356266536,1111.0654887431522,1225.9412541561094
2024-06-21,1176.084355178042,1118.392617974497,1233.4027438628973
2024-06-22,1182.0473669632152,1121.8425514061867,1239.7011329743884
2024-06-23,1189.09496980995,1127.89961553098,1249.330603566751
2024-06-24,1196.325144267601,1133.8339670541866,1256.805768197937
2024-06-25,1202.3089911285967,1138.301117559616,1264.3264768333265
2024-06-26,1208.7714101188649,1143.7737332228303,1272.0040800348804
2024-06-27,1216.050997988611,1149.5620165387993,1280.5075819564229
2024-06-28,1222.7663175399987,1154.739862277143,1288.0605810286459
2024-06-29,1228.7293293251732,1158.597803088312,1294.01290431799
2024-06-30,1235.7769321719077,1164.8605791915652,1302.570533287753
2024-07-01,1243.0071066295573,1171.7536078814665,1311.1316514130028
2024-07-02,1248.990953490553,1177.0013453501738,1318.456306043713
2024-07-03,1255.453372480822,1181.582571130846,1326.4441897650684
2024-07-04,1262.7329603505661,1187.6663846226688,1335.2797488152564
2024-07-05,1269.448279901955,1192.3877014380812,1341.324589410941
2024-07-06,1275.41129168713,1196.4990246393152,1349.1442727694953
